,code,name,py,3,4,jz,day1,week1,month1,month3,month6,year1,year2,year3,year0,yearall,1,2,3
103,206007,鹏华消费优选混合,PHXFYXHH,2019-08-30,2.7320,2.7320,1.9403,2.9390,8.9314,21.2605,40.2464,33.7904,37.2864,66.7888,67.9164,173.20,2010-12-28,1,166.0175
104,001170,泰达宏利复兴混合,TDHLFXHH,2019-08-30,1.0540,1.0540,2.4295,2.9297,9.3361,19.0960,31.5855,24.2925,18.1614,35.8247,47.2067,5.40,2015-04-21,1,5.4
105,001696,南方智造股票,NFZZGP,2019-08-30,1.0580,1.0580,0,2.9183,7.3022,16.9061,19.6833,16.6483,5.6943,,34.2640,5.80,2017-08-03,1,5.8
106,519005,海富通股票混合,HFTGPHH,2019-08-30,0.7470,2.6960,-1.1905,2.8926,12.6697,19.3291,12.6697,8.5756,8.2609,19.3291,41.7457,221.0363,2005-07-29,1,18.5714
107,001365,大成正向回报灵活配置混合,DCZXHBLHPZHH,2019-08-30,0.7490,0.7490,-0.1333,2.8846,2.1828,14.0030,15.0538,12.1257,2.0436,11.6244,29.3610,-25.10,2015-07-08,1,-25.1
108,005620,中欧品质消费股票A,ZOPZXFGPA,2019-08-30,1.2962,1.2962,-0.8036,2.8730,0.4962,3.6380,24.9952,34.4187,,,50.9140,29.62,2018-02-11,1,29.62
109,007306,华泰柏瑞基本面智选A,HTBRJBMZXA,2019-08-30,1.1013,1.1013,0.3005,2.8676,7.1616,,,,,,,10.13,2019-06-05,1,10.13
110,398061,中海消费混合,ZHXFHH,2019-08-30,2.80,3.01,-0.0714,2.8655,3.6653,13.6364,33.1431,36.7856,15.0370,24.1135,54.3551,234.4485,2011-11-09,1,117.5603
111,003956,南方教育股票,NFJYGP,2019-08-30,1.0866,1.0866,-1.1643,2.8588,11.1498,18.6115,18.1858,32.5769,9.8130,,40.7331,8.66,2017-01-25,1,8.66
112,320006,诺安灵活配置混合,NALHPZHH,2019-08-30,2.20,2.78,-0.6323,2.8518,5.4650,11.8455,7.0560,5.5156,-8.6758,1.4760,21.5470,267.7399,2008-05-20,1,78.2821
113,005621,中欧品质消费股票C,ZOPZXFGPC,2019-08-30,1.2824,1.2824,-0.8121,2.8388,0.3993,3.6199,25.0634,34.0021,,,50.7819,28.24,2018-02-11,1,28.24
114,001398,华泰柏瑞健康生活混合,HTBRJKSHHH,2019-08-30,0.9420,0.9420,0.1063,2.8384,2.8384,13.7681,25.4328,36.9186,21.0797,27.8155,55.1895,-5.80,2015-06-18,1,-5.8
115,005544,银华瑞和灵活配置混合,YHRHLHPZHH,2019-08-30,1.2789,1.2789,1.9369,2.8303,6.9851,14.6687,22.3594,33.3299,,,44.3780,27.89,2018-04-26,1,27.89
116,290012,泰信行业精选混合A,TXHYJXHHA,2019-08-30,1.2050,1.5250,0,2.8157,4.6916,8.4609,8.1687,20.8626,12.5666,19.0127,31.6940,58.1558,2012-02-22,1,51.3311
117,002181,华安大安全混合,HADAQHH,2019-08-30,1.0970,1.0970,-0.3633,2.8116,7.1289,18.7229,19.8907,28.7559,9.70,,42.4675,9.70,2017-08-23,1,9.7
118,164205,天弘文化新兴产业,THWHXXCY,2019-08-30,1.5314,1.7807,-0.6488,2.7923,4.4967,13.1186,38.2629,47.7045,38.4504,38.7138,63.5762,78.0684,2010-08-12,1,176.9337
119,004374,华泰保兴吉年丰混合发起A,HTBXJNFHHFQA,2019-08-30,1.1191,1.2141,-0.7098,2.7828,8.3454,19.0025,19.4980,21.2985,11.2602,,36.4922,21.6398,2017-03-24,1,21.6398
120,004375,华泰保兴吉年丰混合发起C,HTBXJNFHHFQC,2019-08-30,1.1121,1.2071,-0.7054,2.7819,8.3390,18.9538,19.3624,21.0119,10.6733,,36.2868,20.8985,2017-03-24,1,20.8985
121,007307,华泰柏瑞基本面智选C,HTBRJBMZXC,2019-08-30,1.0979,1.0979,0.2923,2.7804,6.9765,,,,,,,9.79,2019-06-05,1,9.79
122,005170,华泰保兴策略精选C,HTBXCLJXC,2019-08-30,1.1494,1.1494,0.1220,2.7626,6.0626,8.5569,8.7829,14.0730,,,14.0617,14.94,2017-12-06,1,14.94
123,005169,华泰保兴策略精选A,HTBXCLJXA,2019-08-30,1.1578,1.1578,0.1211,2.7603,6.0936,8.6626,8.8977,14.4863,,,14.2716,15.78,2017-12-06,1,15.78
124,160605,鹏华中国50混合,PHZG50HH,2019-08-30,1.6010,3.9710,1.8448,2.7599,8.6160,20.5572,40.3155,40.3155,34.9916,25.8648,70.8645,662.7432,2004-05-12,1,49.6262
125,005492,农银汇理研究驱动混合,NYHLYJQDHH,2019-08-30,1.0963,1.0963,-0.1002,2.7460,6.0251,11.1753,15.9615,21.2051,,,33.0461,9.63,2018-01-24,1,9.63
126,005729,南方人工智能混合,NFRGZNHH,2019-08-30,1.3636,1.3636,0.0073,2.7426,6.9742,15.7752,18.7495,,,,38.8595,36.36,2018-10-12,1,36.36
127,002707,大摩科技领先混合,DMKJLXHH,2019-08-30,0.8706,0.8706,-0.2292,2.7378,8.2297,16.9375,7.1640,10.9045,,,21.2028,-12.94,2017-12-13,1,-12.94
128,005050,长安鑫旺价值混合C,CAXWJZHHC,2019-08-30,1.4051,1.4051,-0.1492,2.7346,12.5431,24.2682,29.3951,35.9029,,,51.3954,40.4960,2017-09-21,1,40.496
129,005049,长安鑫旺价值混合A,CAXWJZHHA,2019-08-30,1.4049,1.4049,-0.1493,2.7275,12.5181,24.2725,29.3409,35.9493,,,51.3575,40.4760,2017-09-21,1,40.476
130,005341,长安裕泰混合A,CAYTHHA,2019-08-30,1.2693,1.2693,-0.2044,2.7274,12.3573,25.0172,28.9415,38.0424,,,49.6110,26.93,2017-12-27,1,26.93
